# address	name	source  (dream-translate symbols; edit freely, keep tabs)
0x0c010000	_loader	user
0x0c073b70	_kmSetFogTable	ghidra
0x0c075b50	_kmSetFogTable	ghidra
0x0c080684	__bfslu	fid
0x0c0806d4	__divls	fid
0x0c080788	__divlu	fid
0x0c080830	__modls	fid
0x0c0808f8	__modlu	fid
0x0c080b5c	__slow_mvn	fid
0x0c080bd8	_memmove	fid
0x0c086b74	_quick_strcpy1	fid
0x0c087608	_strncpy	fid
0x0c087f44	__app_coss	fid
0x0c087f64	__app_sins	fid
0x0c0885c8	__allzero	fid
0x0c088a48	__rsfts	fid
0x0c088c64	__divws	fid
0x0c088e58	__duchek	fid
0x0c148aae	_kmSetFogTableColor	fid
0x0c148b00	_kmSetFogTableColor	fid
0x0c148b10	_kmSetFogTable	fid
0x0c148d60	_kmSetBackGroundPlane	fid
0x0c14965c	_kmQueryFinishFlushVertexBuffer	fid
0x0c14aa80	_ovLockCs	fid
0x0c14aa98	_ovUnlockCs	fid
0x0c14aaae	_ovGetLibTbl	fid
0x0c14ab16	_ovSearchLibByUuid	fid
0x0c14ab6a	_ovInit	fid
0x0c14abcc	_ovLibClose	fid
0x0c14b094	_gdFsReadWG	fid
0x0c14ba84	_gdFsGetDrvStatG	fid
0x0c14c962	_pdGunLeave	fid
0x0c14d214	_syCachePurgeAll	fid
0x0c14d7da	_syRtcGetDate	fid
0x0c14d8d0	_syRtcDateToCount	fid
0x0c14d964	_syRtcCountToDate	fid
0x0c14db3c	_syRtcGetCountForce	fid
0x0c14dba8	_syRtcAicaGetCount	fid
0x0c14dc78	_syRtcMakeDayOfWeek	fid
0x0c14dcb4	_syRtcMakeAgeOfMoon	fid
0x0c14dd48	_syRtcDbgWriteLog	fid
0x0c14def2	_pdVmsLcdWrite1	fid
0x0c14df3c	_pdVmsLcdIsReady	fid
0x0c14e0a0	_buDisableServer	fid
0x0c14e29c	_vmsfs_c_setcompletecallback	ghidra
0x0c14e2a2	_vmsfs_c_setprogresscallback	ghidra
0x0c14e2b4	_vmsfs_ismount	ghidra
0x0c14e35e	_vmsfs_isformat	ghidra
0x0c14e424	_buGetDiskInfo	fid
0x0c14e452	_buGetDiskFree	fid
0x0c14e480	_buFindFirstFile	fid
0x0c14e4ae	_buFindNextFile	fid
0x0c14e4dc	_buFindFirstFileEx	fid
0x0c14e50e	_buFindNextFileEx	fid
0x0c14e540	_buFindExecFile	fid
0x0c14e56e	_buOpenFile	fid
0x0c14e5a0	_buCreateFile	fid
0x0c14e5d6	_buCreateExecFile	fid
0x0c14e60c	_buSetFileParam	fid
0x0c14e84c	_buIsExistFile	fid
0x0c14e87a	_buGetFileInfo	fid
0x0c14e8ac	_buStat	fid
0x0c14e8c6	_buGetLastError	fid
0x0c14e93c	_buGetFileSize	fid
0x0c14ea28	_buSaveFile	fid
0x0c14ec68	_buMakeBackupFileImage	fid
0x0c14ee60	_buCalcBackupFileSize	fid
0x0c14f000	_buCalcCRC	fid
0x0c14f1ce	_syCfgGetIndividualID	fid
0x0c14f214	_syCfgGetIDAddress	fid
0x0c14f250	_syCfgIIDCheckSum	fid
0x0c14f2f4	_pdVibIsReady	fid
0x0c14f4b8	_pdVibGetInfo	fid
0x0c14fd06	_adxt_start_sj	fid
0x0c14fe2e	_ADXT_Stop	fid
0x0c14fea2	_ADXT_GetTime	fid
0x0c14ff4c	_ADXT_GetTimeReal	fid
0x0c14ffb2	_ADXT_GetNumChan	fid
0x0c150252	_ADXT_DiscardSmpl	fid
0x0c15046c	_ADXF_Init	fid
0x0c150504	_adxf_SetCmdHstry	fid
0x0c15056a	_adxf_ChkPrmPt	fid
0x0c150bbc	_adxf_CloseSjStm	fid
0x0c150c08	_ADXF_Close	fid
0x0c150c58	_adxf_read_sj32	fid
0x0c150d3a	_ADXF_ReadSj32	fid
0x0c150e56	_ADXF_Stop	fid
0x0c150eec	_adxf_ExecOne	fid
0x0c150f78	_ADXF_ExecServer	fid
0x0c151038	_ADXF_Tell	fid
0x0c151090	_ADXF_GetFsizeByte	fid
0x0c1510ac	_ADXF_GetNumReqSct	fid
0x0c1510dc	_ADXF_GetNumReadSct	fid
0x0c1510f8	_ADXF_GetStat	fid
0x0c151114	_adxf_ChkPrmGfr	fid
0x0c153280	_kmiDMAtoTARequest	fid
0x0c1535d8	_kmiQueryFinishDMA	fid
0x0c153660	_kmiWaitForFinishDMA	fid
0x0c153bc0	_kmiTXalloc	fid
0x0c153d92	_kmiVQalloc	fid
0x0c153eda	_kmiFBfree	fid
0x0c153fd0	_kmiVQFBfree	fid
0x0c154306	_kmiFBgetfreememEx	fid
0x0c15438e	_kmiFBSortQueue	fid
0x0c1543ce	_kmiFBGarbageCollect	fid
0x0c1551b6	_kmytex_FBEnQueueEntry	fid
0x0c1551d2	_kmytex_FBDeQueueEntry	fid
0x0c1564c6	_kmiWriteRegister	ghidra
0x0c15661e	_kmiMemCopy4	fid
0x0c156802	_kmiRegisterCallback	fid
0x0c15687e	_kmSetEORCallback	fid
0x0c15689a	_kmSetVSyncCallback	fid
0x0c1568bc	_kmSetHSyncCallback	fid
0x0c156b32	_kmSetTexOverflowCallback	fid
0x0c157884	_kmiWriteRegister	fid
0x0c15788e	_kmiPurgeMemory	fid
0x0c157920	_kmiCopyToFrameBuffer	fid
0x0c157a02	_kmiCopyFromFrameBuffer	fid
0x0c15994c	_kmCreateTextureSurface	fid
0x0c159b9a	_kmLoadTexture	fid
0x0c159fc8	_kmFreeTexture	fid
0x0c15a154	_kmGarbageCollectTexture	fid
0x0c15a440	_kmtex_GetTextureLevel	fid
0x0c15adc0	_kmiConvertUVnum	fid
0x0c15b0c0	_kmProcessVertexRenderState	fid
0x0c15b880	_kmSetVertexRenderState	fid
0x0c15dc88	_gdFsWaitCompleteReq	fid
0x0c15dd1a	_gdFsReopenHn	fid
0x0c15dd8c	_gdFsClose	fid
0x0c15de12	_gdFsSeek	fid
0x0c15deb6	_gdFsRead	fid
0x0c15e01c	_gdFsReqRd32	fid
0x0c15e33c	_gdFsGetStat	fid
0x0c15e36a	_gdFsStopRd	fid
0x0c15e5bc	_syChainAddHandler	fid
0x0c15e76a	_syChainMasterHandler	fid
0x0c15ed94	_syG2Read	fid
0x0c15f27e	_syTmrGetCount	fid
0x0c15f678	_kdExecGun	fid
0x0c15f906	_kdInitSystemEx	fid
0x0c15f964	_kdSendFrame	fid
0x0c15fc14	_kdRecvFrame	fid
0x0c15fe34	_kdGetDevice	fid
0x0c15fe46	_kdGetDeviceInfo	fid
0x0c15fe62	_mpdrv_stat	ghidra
0x0c15ffcc	_kdSetBlockWrite	fid
0x0c16010e	_mpdrv_ischanged	ghidra
0x0c16011a	_kdDevGetFD	fid
0x0c16014a	_kdDevGetControllerInfo	fid
0x0c160262	_kdDevGetLCDInfo	fid
0x0c160308	_kdDevGetGunInfo	fid
0x0c160352	_kdDevGetVibrationInfo	fid
0x0c16038a	_kdSetDriverMode	fid
0x0c1604c6	_kdSetHandler	fid
0x0c161298	_vmsfs_c_setcompletecallback	fid
0x0c1612b4	_vmsfs_c_setprogresscallback	fid
0x0c1612ec	_vmsfs_c_getstate	fid
0x0c1612fc	_vmsfs_c_setfunc	fid
0x0c16130c	_vmsfs_c_setparam	fid
